閏,(*njuns)
閑,(*ɡreːn)
閒,(*ɡreːn)
閔,(*mrɯnʔ)
閵,(*rins)
阜,(*buʔ)
陟,(*tɯɡ)
陳,(*l'iŋ)
隓,(*hlol)
隙,(*kʰraɡ)
隱,(*qɯnʔ)
隶,(*lɯds)
隹,(*tjul)
隼,(*sqʰʷinʔ)
雁,(*ŋraːns)
集,(*zub)
雋,(*zonʔ)
雔,(*dju)
雙,(*sroːŋ)
雚,(*koːns)
需,(*sno)
霍,(*qʰʷaːɡ)
霝,(*reːŋ)
霸,(*praːɡs)
非,(*pɯl)
面,(*mens)
革,(*krɯːɡ)
韋,(*ɢʷɯl)
韰,(*ɡrɯːds)
韱,(*sem)
音,(*qrɯm)
頃,(*kʰʷeŋ)
須,(*so)
頤,(*lɯ)
頪,(*roːds)
頻,(*bin)
顯,(*hŋeːnʔ)
飛,(*pɯl)
食,(*lɯɡs)
飧,(*suːn)
養,(*laŋʔ)
首,(*hljuʔ)
香,(*qʰaŋ)
馬,(*mraːʔ)
骨,(*kuːd)
高,(*kaːw)
鬥,(*toːɡs)
鬱,(*qud)
鬲,(*kreːɡ)
鬳,(*ŋans)
鬼,(*kulʔ)
魚,(*ŋa)
魯,(*raːʔ)
鮮,(*sen)
鳥,(*tɯːwʔ)
鴇,(*puːʔ)
鷹,(*qɯŋ)
鹵,(*raːʔ)
鹿,(*b·roːɡ)
麀,(*qɯw)
麃,(*braːw)
麻,(*mraːl)
黃,(*ɡʷaːŋ)
黑,(*hmlɯːɡ)
黽,(*mlenʔ)
鼎,(*kleːŋʔ)
鼓,(*kʷaːʔ)
鼠,(*hljaʔ)
齊,(*zliːl)
龍,(*b·roŋ)
龖,(*l'ɯːb)
龜,(*kʷɯ)
龠,(*lowɢ)
龹,()
